id;start_date;end_date;language
1;2022-12-14T04:44:21;2022-12-14T02:34:36;ENGLISH
2;2022-12-13T14:11:56;2022-12-13T23:37:25;FRENCH
3;2022-12-14T00:08:08;2022-12-13T12:13:16;SPANISH
4;2022-12-14T04:38:57;2022-12-13T10:05:16;FRENCH
5;2022-12-14T06:55:20;2022-12-13T15:14:18;ENGLISH
6;2022-12-13T16:26:03;2022-12-14T06:26:23;SPANISH
7;2022-12-14T00:29:51;2022-12-13T11:04:00;FRENCH
8;2022-12-13T14:55:44;2022-12-13T11:31:33;FRENCH
9;2022-12-13T15:47:22;2022-12-14T03:18:48;FRENCH
10;2022-12-13T11:44:20;2022-12-14T04:41:49;FRENCH
